frame, timestamp, confidence, success, x_0, y_0, z_0, x_1, y_1, z_1, x_h0, y_h0, z_h0, x_h1, y_h1, z_h1
33, 1.06667, 0.946167, 1, 0.0421889, 0.198911, -0.979109, -0.15751, 0.278714, -0.947369, 0.119396, 0.413617, -0.902588, -0.068996, 0.511738, -0.856367
34, 1.1, 0.941901, 1, 0.0655519, 0.197295, -0.97815, -0.144748, 0.25362, -0.956412, 0.136803, 0.396019, -0.907995, -0.0646348, 0.475691, -0.877234
35, 1.13333, 0.949023, 1, 0.0382525, 0.223293, -0.974, -0.140146, 0.261447, -0.954989, 0.10834, 0.41721, -0.902329, -0.0640075, 0.474938, -0.877689
36, 1.16667, 0.950321, 1, 0.0283332, 0.22345, -0.974304, -0.12858, 0.2666, -0.955192, 0.10093, 0.418506, -0.902588, -0.0495347, 0.47809, -0.876913
37, 1.2, 0.952673, 1, 0.0550111, 0.226147, -0.972538, -0.146991, 0.25831, -0.954814, 0.127999, 0.412385, -0.901973, -0.0685413, 0.467962, -0.881087
38, 1.23333, 0.952512, 1, 0.0395865, 0.215312, -0.975743, -0.150922, 0.273116, -0.950069, 0.114018, 0.40352, -0.907839, -0.0684486, 0.48024, -0.874462
39, 1.26667, 0.952143, 1, 0.052483, 0.210043, -0.976282, -0.147634, 0.246981, -0.957708, 0.130497, 0.391952, -0.910684, -0.0640299, 0.451074, -0.890186
40, 1.3, 0.95261, 1, 0.0478171, 0.210919, -0.976333, -0.159432, 0.248674, -0.955376, 0.131282, 0.390004, -0.911407, -0.0705882, 0.450123, -0.890172
41, 1.33333, 0.956627, 1, 0.0345951, 0.208934, -0.977318, -0.140285, 0.271109, -0.952271, 0.125156, 0.38663, -0.913703, -0.0421331, 0.465449, -0.884071
42, 1.36667, 0.955843, 1, 0.0364847, 0.212354, -0.976511, -0.151182, 0.268889, -0.951232, 0.127767, 0.39367, -0.910329, -0.0531022, 0.468114, -0.882071
43, 1.4, 0.957414, 1, 0.0635838, 0.228887, -0.971374, -0.140684, 0.268431, -0.95297, 0.158529, 0.402948, -0.901389, -0.0404734, 0.464194, -0.884808
44, 1.43333, 0.959346, 1, 0.0497147, 0.236272, -0.970414, -0.144408, 0.277115, -0.949923, 0.146517, 0.406756, -0.901711, -0.042542, 0.46741, -0.883016
45, 1.46667, 0.959878, 1, 0.0433139, 0.244775, -0.968612, -0.14149, 0.26481, -0.953864, 0.14235, 0.412421, -0.899803, -0.0395383, 0.452524, -0.890875
46, 1.5, 0.960655, 1, 0.0349118, 0.239615, -0.97024, -0.139003, 0.272604, -0.952032, 0.133678, 0.402289, -0.905701, -0.0362061, 0.453094, -0.890727
47, 1.53333, 0.959846, 1, 0.0273739, 0.240327, -0.970306, -0.138993, 0.279232, -0.950111, 0.123105, 0.39709, -0.909486, -0.0388475, 0.452159, -0.891091
48, 1.56667, 0.960543, 1, 0.0266957, 0.241983, -0.969913, -0.129443, 0.269837, -0.954166, 0.121245, 0.392265, -0.911826, -0.0315204, 0.435985, -0.899402
49, 1.6, 0.96178, 1, 0.0268106, 0.234591, -0.971724, -0.135215, 0.262845, -0.955316, 0.120772, 0.375312, -0.918997, -0.0377514, 0.420423, -0.906543
50, 1.63333, 0.965274, 1, 0.0202043, 0.234744, -0.971847, -0.134909, 0.266568, -0.954327, 0.11666, 0.361309, -0.925119, -0.0347934, 0.408926, -0.911904
51, 1.66667, 0.965873, 1, 0.00975988, 0.234881, -0.971975, -0.138412, 0.279709, -0.950055, 0.106431, 0.342618, -0.933427, -0.0373313, 0.401307, -0.915182
52, 1.7, 0.966271, 1, 0.0237659, 0.26912, -0.962813, -0.129706, 0.301198, -0.944699, 0.126773, 0.336338, -0.933169, -0.0233729, 0.38393, -0.923066
53, 1.73333, 0.969559, 1, 0.0231155, 0.269351, -0.962765, -0.11484, 0.292079, -0.949474, 0.130233, 0.30214, -0.944325, -0.00513524, 0.339378, -0.940636
54, 1.76667, 0.970584, 1, 0.0262431, 0.263026, -0.964432, -0.115579, 0.291989, -0.949412, 0.13656, 0.26166, -0.955451, -0.0020844, 0.305755, -0.952108
55, 1.8, 0.970662, 1, 0.0199395, 0.278634, -0.96019, -0.118129, 0.302377, -0.94584, 0.131781, 0.246626, -0.960109, -0.00360823, 0.285347, -0.958417
56, 1.83333, 0.971195, 1, 0.0162043, 0.268551, -0.963129, -0.109611, 0.282419, -0.953008, 0.133271, 0.215145, -0.967446, 0.00939553, 0.242941, -0.969996
57, 1.86667, 0.971758, 1, 0.0335214, 0.252332, -0.96706, -0.092321, 0.298256, -0.950011, 0.148765, 0.180448, -0.972269, 0.0280002, 0.240842, -0.97016
58, 1.9, 0.972301, 1, 0.0320259, 0.279588, -0.959586, -0.0986769, 0.292234, -0.951242, 0.152481, 0.203435, -0.967142, 0.0239369, 0.230978, -0.972664
59, 1.93333, 0.971771, 1, 0.0256737, 0.278938, -0.959966, -0.088658, 0.300963, -0.949506, 0.153242, 0.200522, -0.96763, 0.0418486, 0.235836, -0.970891
60, 1.96667, 0.971504, 1, 0.0460472, 0.28635, -0.957018, -0.124819, 0.304705, -0.944233, 0.179679, 0.20756, -0.961579, 0.0118469, 0.245893, -0.969225
61, 2, 0.970804, 1, 0.0392825, 0.256141, -0.965841, -0.115183, 0.276811, -0.953996, 0.176167, 0.189368, -0.965974, 0.0249922, 0.228358, -0.973256
62, 2.03333, 0.967319, 1, 0.0448458, 0.273573, -0.960805, -0.12261, 0.284441, -0.950821, 0.184095, 0.20997, -0.96022, 0.0191095, 0.240534, -0.970453
63, 2.06667, 0.969864, 1, 0.048676, 0.267156, -0.962423, -0.131244, 0.28406, -0.949782, 0.186953, 0.20738, -0.96023, 0.0101985, 0.246031, -0.969208
64, 2.1, 0.970811, 1, 0.0342419, 0.262153, -0.964419, -0.100945, 0.278389, -0.955149, 0.17297, 0.206348, -0.963069, 0.0406304, 0.238913, -0.970191
65, 2.13333, 0.969219, 1, 0.039895, 0.274343, -0.960804, -0.109187, 0.285766, -0.952059, 0.180623, 0.21779, -0.959137, 0.0340553, 0.247201, -0.968366
66, 2.16667, 0.968491, 1, 0.0555014, 0.278103, -0.958947, -0.109098, 0.270213, -0.956599, 0.193507, 0.218916, -0.956363, 0.0299218, 0.230656, -0.972575
67, 2.2, 0.968538, 1, 0.0509148, 0.279856, -0.958691, -0.129425, 0.278749, -0.951603, 0.190724, 0.22365, -0.955827, 0.0119228, 0.243928, -0.96972
68, 2.23333, 0.970491, 1, 0.049231, 0.266361, -0.962615, -0.11208, 0.274553, -0.955018, 0.188912, 0.209345, -0.95942, 0.0299534, 0.236555, -0.971156
69, 2.26667, 0.968851, 1, 0.0423246, 0.274302, -0.960712, -0.112733, 0.278999, -0.953651, 0.187839, 0.22043, -0.957145, 0.0347332, 0.243349, -0.969317
70, 2.3, 0.970371, 1, 0.0519812, 0.268842, -0.961781, -0.103364, 0.271359, -0.956912, 0.202921, 0.210318, -0.956342, 0.0496327, 0.231045, -0.971676
71, 2.33333, 0.97094, 1, 0.0517907, 0.261399, -0.96384, -0.103602, 0.273671, -0.956227, 0.204485, 0.199756, -0.958271, 0.0520069, 0.230149, -0.971765
72, 2.36667, 0.96966, 1, 0.0490872, 0.270233, -0.961543, -0.0938201, 0.268784, -0.95862, 0.205483, 0.208209, -0.956256, 0.0642767, 0.223217, -0.972647
73, 2.4, 0.971391, 1, 0.0460336, 0.26774, -0.962391, -0.0878489, 0.297223, -0.950758, 0.207619, 0.204807, -0.95653, 0.0778797, 0.249777, -0.965167
74, 2.43333, 0.970122, 1, 0.0468837, 0.2742, -0.960529, -0.0926096, 0.282553, -0.954771, 0.212065, 0.210586, -0.954297, 0.0750885, 0.23461, -0.969185
75, 2.46667, 0.969511, 1, 0.0448815, 0.274707, -0.96048, -0.101629, 0.286987, -0.952528, 0.211593, 0.206754, -0.955239, 0.0678321, 0.235143, -0.969591
76, 2.5, 0.9716, 1, 0.0605565, 0.230535, -0.971178, -0.111184, 0.287338, -0.951354, 0.227575, 0.157051, -0.961012, 0.0623059, 0.232609, -0.970572
77, 2.53333, 0.973518, 1, 0.0584277, 0.27917, -0.958462, -0.0917297, 0.288557, -0.953058, 0.216679, 0.208257, -0.953771, 0.0691934, 0.233856, -0.969806
78, 2.56667, 0.9731, 1, 0.0475798, 0.261903, -0.963921, -0.113643, 0.300971, -0.946838, 0.210641, 0.195299, -0.957856, 0.0539076, 0.251635, -0.96632
79, 2.6, 0.974025, 1, 0.0443986, 0.283594, -0.957916, -0.110896, 0.303656, -0.946306, 0.216819, 0.214728, -0.952303, 0.0645584, 0.25056, -0.965946
80, 2.63333, 0.97377, 1, 0.057947, 0.273729, -0.96006, -0.124526, 0.306835, -0.943581, 0.23624, 0.212345, -0.948209, 0.0577015, 0.263011, -0.963066
81, 2.66667, 0.978173, 1, 0.0236184, 0.284829, -0.958287, -0.105402, 0.292876, -0.950323, 0.229334, 0.248928, -0.940979, 0.102473, 0.268974, -0.957681
82, 2.7, 0.980087, 1, 0.0541357, 0.28858, -0.955924, -0.128072, 0.288947, -0.94874, 0.258228, 0.25619, -0.931496, 0.0788461, 0.275291, -0.958122
83, 2.73333, 0.980115, 1, 0.0641368, 0.282828, -0.957024, -0.144318, 0.288591, -0.946513, 0.279057, 0.249722, -0.927236, 0.0743596, 0.277168, -0.95794
84, 2.76667, 0.981841, 1, 0.166903, 0.367935, -0.91475, -0.228413, 0.37277, -0.899372, 0.380308, 0.335767, -0.861758, -0.00768224, 0.381244, -0.924443
85, 2.8, 0.98043, 1, 0.127135, 0.369377, -0.920542, -0.187578, 0.376339, -0.907295, 0.357176, 0.35761, -0.862867, 0.0490404, 0.393137, -0.918171
86, 2.83333, 0.980252, 1, 0.0732144, 0.346148, -0.935319, -0.15689, 0.286001, -0.945298, 0.321665, 0.349219, -0.880101, 0.0966229, 0.308656, -0.946253
87, 2.86667, 0.981142, 1, 0.00892315, 0.309091, -0.95099, -0.167834, 0.277245, -0.946027, 0.276851, 0.323527, -0.904811, 0.103304, 0.304035, -0.947043
88, 2.9, 0.982409, 1, -0.00933304, 0.307517, -0.951497, -0.177479, 0.277002, -0.944336, 0.29106, 0.328115, -0.898679, 0.1274, 0.306333, -0.943361
89, 2.93333, 0.98224, 1, -0.0509266, 0.298022, -0.9532, -0.230846, 0.273066, -0.933887, 0.282997, 0.332051, -0.899808, 0.106702, 0.313095, -0.943709
90, 2.96667, 0.984559, 1, -0.0371081, 0.30011, -0.953183, -0.18317, 0.267707, -0.945929, 0.328072, 0.35062, -0.877174, 0.19003, 0.321656, -0.927592
91, 3, 0.98499, 1, -0.0531096, 0.300229, -0.952388, -0.198398, 0.27531, -0.940661, 0.341743, 0.365788, -0.865686, 0.20498, 0.342503, -0.916883
92, 3.03333, 0.983429, 1, -0.0584365, 0.284737, -0.956823, -0.1867, 0.25597, -0.948484, 0.364886, 0.365166, -0.856453, 0.247188, 0.337041, -0.908461
93, 3.06667, 0.98422, 1, -0.066541, 0.279474, -0.957845, -0.141109, 0.25299, -0.957123, 0.382586, 0.373408, -0.8451, 0.317879, 0.347118, -0.882305
94, 3.1, 0.983998, 1, -0.0477425, 0.264906, -0.963092, -0.146206, 0.236405, -0.960592, 0.419319, 0.369564, -0.829213, 0.334271, 0.340762, -0.878717
95, 3.13333, 0.983907, 1, -0.0404565, 0.268789, -0.962349, -0.148314, 0.232167, -0.961302, 0.425459, 0.372111, -0.824935, 0.333433, 0.335357, -0.881112
96, 3.16667, 0.98413, 1, -0.0426225, 0.24526, -0.96852, -0.168773, 0.233055, -0.957706, 0.446099, 0.357992, -0.820267, 0.333505, 0.34396, -0.877762
97, 3.2, 0.981959, 1, -0.09365, 0.257419, -0.961751, -0.17617, 0.237012, -0.9554, 0.406699, 0.379057, -0.831211, 0.335044, 0.357184, -0.871874
98, 3.23333, 0.981688, 1, -0.0722962, 0.24959, -0.965649, -0.177976, 0.231774, -0.95635, 0.435555, 0.37504, -0.818313, 0.343099, 0.355139, -0.869575
99, 3.26667, 0.981974, 1, -0.0359841, 0.262834, -0.96417, -0.180519, 0.237565, -0.95445, 0.465893, 0.390464, -0.794028, 0.341369, 0.36268, -0.867139
100, 3.3, 0.865682, 1, -0.0736778, 0.243876, -0.967004, -0.185879, 0.227659, -0.955835, 0.446636, 0.367735, -0.815651, 0.348365, 0.348772, -0.870058
101, 3.33333, 0.85066, 1, 0.0471677, 0.157636, -0.98637, -0.111909, 0.234581, -0.965634, 0.632317, 0.283805, -0.720853, 0.488502, 0.356231, -0.796533
102, 3.36667, 0.854591, 1, 0.0835326, 0.153604, -0.984595, -0.0947562, 0.25236, -0.962983, 0.66135, 0.284799, -0.693906, 0.500171, 0.378854, -0.778652
103, 3.4, 0.854827, 1, 0.0548635, 0.152908, -0.986716, -0.107474, 0.245898, -0.963319, 0.639828, 0.283925, -0.714148, 0.490546, 0.372454, -0.787809
104, 3.43333, 0.852994, 1, 0.0732933, 0.172709, -0.982242, -0.122155, 0.237039, -0.96379, 0.643941, 0.308698, -0.700033, 0.473439, 0.369558, -0.799551
105, 3.46667, 0.856908, 1, 0.0826842, 0.179784, -0.980225, -0.118143, 0.242388, -0.962959, 0.651452, 0.318334, -0.688675, 0.477905, 0.378157, -0.792845
106, 3.5, 0.840821, 1, 0.0311366, 0.159353, -0.986731, -0.105179, 0.240889, -0.964837, 0.623789, 0.297001, -0.722965, 0.496933, 0.374787, -0.782683
107, 3.53333, 0.844314, 1, 0.0365623, 0.16109, -0.986262, -0.10379, 0.239814, -0.965255, 0.628852, 0.297391, -0.718403, 0.499799, 0.372537, -0.781932
108, 3.56667, 0.852285, 1, 0.0698026, 0.160009, -0.984644, -0.114751, 0.239175, -0.964172, 0.653624, 0.298269, -0.695565, 0.490502, 0.374357, -0.786934
109, 3.6, 0.863007, 1, 0.0522906, 0.181306, -0.982036, -0.118724, 0.241634, -0.963077, 0.627663, 0.322703, -0.70845, 0.476533, 0.380245, -0.792673
110, 3.63333, 0.852168, 1, 0.0539216, 0.188274, -0.980635, -0.122242, 0.263469, -0.956891, 0.62469, 0.33361, -0.706022, 0.464876, 0.4051, -0.787264
111, 3.66667, 0.865364, 1, 0.0395792, 0.175339, -0.983712, -0.117414, 0.240336, -0.963562, 0.609911, 0.33012, -0.720437, 0.467539, 0.39226, -0.792174
112, 3.7, 0.845887, 1, 0.0483718, 0.159059, -0.986083, -0.108163, 0.244337, -0.963639, 0.621097, 0.318866, -0.715935, 0.47587, 0.400727, -0.782921
113, 3.73333, 0.855341, 1, 0.0291216, 0.151318, -0.988056, -0.103118, 0.227358, -0.968336, 0.608134, 0.314509, -0.728873, 0.484545, 0.387378, -0.784318
114, 3.76667, 0.850617, 1, 0.0476245, 0.136146, -0.989543, -0.104119, 0.258009, -0.960516, 0.62231, 0.306173, -0.720409, 0.472876, 0.422882, -0.773019
115, 3.8, 0.844587, 1, 0.0419918, 0.178656, -0.983015, -0.0972262, 0.273718, -0.956883, 0.612788, 0.348846, -0.709082, 0.477769, 0.439454, -0.760669
116, 3.83333, 0.851885, 1, 0.0496034, 0.165445, -0.984971, -0.110028, 0.249944, -0.961988, 0.622347, 0.335319, -0.70728, 0.474391, 0.41659, -0.775504
117, 3.86667, 0.855289, 1, 0.0384136, 0.162158, -0.986017, -0.110514, 0.233502, -0.966056, 0.608919, 0.348453, -0.7126, 0.471698, 0.417027, -0.77691
118, 3.9, 0.838615, 1, 0.036864, 0.173989, -0.984057, -0.176186, 0.241697, -0.954223, 0.599106, 0.373305, -0.708319, 0.404687, 0.436642, -0.803475
119, 3.93333, 0.832932, 1, 0.0274077, 0.172463, -0.984635, -0.190888, 0.251149, -0.948939, 0.567971, 0.387026, -0.726375, 0.361399, 0.459029, -0.811593
120, 3.96667, 0.844328, 1, 0.0199802, 0.171593, -0.984965, -0.175533, 0.234816, -0.956059, 0.56086, 0.397589, -0.726195, 0.378076, 0.452387, -0.807715
121, 4, 0.846081, 1, 0.0414278, 0.150166, -0.987792, -0.126739, 0.246213, -0.960894, 0.591319, 0.387892, -0.707023, 0.427262, 0.473403, -0.770283
122, 4.03333, 0.839825, 1, 0.0121669, 0.167658, -0.98577, -0.135947, 0.227424, -0.96426, 0.572766, 0.419522, -0.70423, 0.433912, 0.469737, -0.768809
123, 4.06667, 0.832914, 1, 0.0162393, 0.183355, -0.982913, -0.150013, 0.246087, -0.957568, 0.58813, 0.447528, -0.673662, 0.434075, 0.498726, -0.750234
124, 4.1, 0.843681, 1, 0.00530665, 0.18067, -0.983529, -0.140698, 0.200917, -0.969452, 0.604239, 0.456326, -0.653194, 0.483716, 0.470422, -0.738053
125, 4.13333, 0.807669, 1, -0.0227349, 0.18494, -0.982487, -0.161983, 0.208897, -0.964429, 0.604474, 0.468984, -0.643945, 0.488503, 0.485569, -0.724974
126, 4.16667, 0.839824, 1, 0.0183105, 0.175997, -0.98422, -0.16536, 0.19799, -0.966155, 0.63961, 0.461196, -0.614978, 0.492378, 0.478431, -0.727096
127, 4.2, 0.838996, 1, 0.0300639, 0.154986, -0.987459, -0.168493, 0.181905, -0.968773, 0.632294, 0.461618, -0.622185, 0.469483, 0.484283, -0.738279
128, 4.23333, 0.838302, 1, 0.0283713, 0.162496, -0.986301, -0.160495, 0.167896, -0.972652, 0.621614, 0.477619, -0.620867, 0.472919, 0.48107, -0.738186
129, 4.26667, 0.825918, 1, 0.0330359, 0.172185, -0.984511, -0.160247, 0.158675, -0.97424, 0.61741, 0.489642, -0.615674, 0.471112, 0.476301, -0.742422
130, 4.3, 0.833932, 1, 0.0232484, 0.169701, -0.985221, -0.162686, 0.159068, -0.973771, 0.60899, 0.48816, -0.625164, 0.46642, 0.476883, -0.745007
131, 4.33333, 0.822297, 1, 0.022173, 0.182917, -0.982878, -0.159579, 0.167929, -0.972797, 0.612169, 0.492854, -0.61834, 0.475563, 0.477762, -0.738636
132, 4.36667, 0.800509, 1, 0.00115573, 0.139179, -0.990267, -0.165728, 0.16797, -0.971761, 0.650566, 0.438459, -0.620095, 0.514746, 0.467292, -0.718801
133, 4.4, 0.79175, 1, -0.0192316, 0.130403, -0.991275, -0.154312, 0.19823, -0.967932, 0.660333, 0.404395, -0.632791, 0.538999, 0.469627, -0.699236
134, 4.43333, 0.770114, 1, -0.105484, 0.195855, -0.974943, -0.125195, 0.162359, -0.978757, 0.574664, 0.431582, -0.695341, 0.568107, 0.400958, -0.71867
135, 4.46667, 0.665157, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
136, 4.5, 0.776043, 1, 0.0477092, 0.313229, -0.948479, -0.212113, 0.0195534, -0.977049, 0.729591, 0.526477, -0.436485, 0.616672, 0.291909, -0.731098
137, 4.53333, 0.736629, 1, -0.00914987, 0.380106, -0.924898, -0.281872, 0.0177561, -0.959288, 0.692365, 0.557714, -0.457805, 0.578831, 0.252545, -0.775355
138, 4.56667, 0.661611, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
139, 4.6, 0.779766, 1, 0.0784841, 0.300638, -0.950504, -0.196397, 0.0615161, -0.978593, 0.838679, 0.384853, -0.385364, 0.710192, 0.201927, -0.674427
140, 4.63333, 0.776819, 1, -0.0363393, 0.135765, -0.990074, 0.089557, 0.42541, -0.900559, 0.831813, 0.233037, -0.503768, 0.832602, 0.476059, -0.283094
141, 4.66667, 0.707287, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
142, 4.7, 0.625601, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
143, 4.73333, 0.61155, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
144, 4.76667, 0.669131, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
145, 4.8, 0.696081, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
146, 4.83333, 0.722596, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
147, 4.86667, 0.774843, 1, 0.104148, 0.122858, -0.986944, -0.264356, 0.257867, -0.929312, 0.935058, -0.110675, -0.336776, 0.804194, 0.186762, -0.564262
148, 4.9, 0.778079, 1, 0.0966094, 0.134914, -0.986136, -0.169581, 0.661345, -0.730661, 0.940078, -0.12825, -0.315921, 0.834627, 0.500148, -0.23076
149, 4.93333, 0.772066, 1, 0.166153, 0.0988712, -0.981131, -0.227625, 0.611554, -0.757752, 0.932307, -0.190033, -0.307719, 0.815967, 0.483907, -0.31628
150, 4.96667, 0.790033, 1, 0.169711, 0.192562, -0.966498, -0.347647, 0.648596, -0.677101, 0.946012, -0.130762, -0.296584, 0.722578, 0.578244, -0.378834
151, 5, 0.749734, 1, 0.203939, 0.219638, -0.954027, 0.17422, 0.349667, -0.920533, 0.920138, -0.0580085, -0.387274, 0.934445, 0.0731607, -0.348511
152, 5.03333, 0.772951, 1, 0.145604, 0.206699, -0.96751, 0.0223431, 0.344655, -0.938464, 0.866305, -0.0347381, -0.498306, 0.837307, 0.148143, -0.52628
153, 5.06667, 0.754509, 1, 0.209416, 0.166358, -0.963572, 0.0261347, 0.275493, -0.960948, 0.86489, -0.127539, -0.485488, 0.809695, 0.0532177, -0.584433
154, 5.1, 0.723555, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
155, 5.13333, 0.705669, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
156, 5.16667, 0.67023, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
157, 5.2, 0.62736, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
158, 5.23333, 0.599246, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
159, 5.26667, 0.592676, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
160, 5.3, 0.571744, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
